timestamp,zone_temp,heating_sp,cooling_sp,outdoor_temp,action,coil_speed
07/01 00:10,26.24,22.00,26.60,22.32,off,0.0
07/01 01:10,26.16,22.00,26.60,22.83,off,0.0
07/01 02:10,25.91,22.00,26.60,22.40,off,0.0
07/01 03:10,25.57,22.00,26.60,21.90,off,0.0
07/01 04:10,25.31,22.00,26.60,21.90,off,0.0
07/01 05:10,25.09,22.00,26.60,21.87,off,0.0
07/01 06:10,24.82,22.00,26.60,21.70,off,0.0
07/01 07:10,25.56,22.00,26.60,21.78,off,0.0
07/01 08:10,26.04,22.00,26.60,22.40,off,0.0
07/01 09:10,26.60,22.00,24.60,23.50,boost_cooling,1.95
07/01 10:10,26.10,22.00,24.60,24.30,boost_cooling,1.95
07/01 11:10,25.33,22.00,24.60,26.02,eco_cooling,1.0
07/01 12:10,25.28,22.00,24.60,27.27,eco_cooling,1.0
07/01 13:10,26.60,22.00,24.60,28.15,boost_cooling,1.95
07/01 14:10,26.58,22.00,24.60,28.42,boost_cooling,1.95
07/01 15:10,24.49,22.00,26.60,28.30,off,0.0
07/01 16:10,26.59,22.00,24.60,26.70,boost_cooling,1.95
07/01 17:10,26.58,22.00,24.60,23.63,boost_cooling,1.95
07/01 18:10,24.52,22.00,26.60,23.37,off,0.0
07/01 19:10,25.96,22.00,26.60,23.65,off,0.0
07/01 20:10,25.19,22.00,24.60,23.33,eco_cooling,1.0
07/01 21:10,23.52,22.00,26.60,22.98,off,0.0
07/01 22:10,26.21,22.00,26.60,22.87,off,0.0
07/01 23:10,25.89,22.00,26.60,22.62,off,0.0
07/02 00:10,26.32,22.00,26.60,22.17,off,0.0
07/02 01:10,26.10,22.00,26.60,21.97,off,0.0
07/02 02:10,25.84,22.00,26.60,21.77,off,0.0
07/02 03:10,25.58,22.00,26.60,21.60,off,0.0
07/02 04:10,25.34,22.00,26.60,21.58,off,0.0
07/02 05:10,25.10,22.00,26.60,21.50,off,0.0
07/02 06:10,24.89,22.00,26.60,21.50,off,0.0
07/02 07:10,24.98,22.00,26.60,21.65,off,0.0
07/02 08:10,25.17,22.00,26.60,22.50,off,0.0
07/02 09:10,26.01,22.00,26.60,23.27,off,0.0
07/02 10:10,25.74,22.00,24.60,24.83,boost_cooling,1.95
07/02 11:10,26.04,22.00,24.60,26.18,boost_cooling,1.95
07/02 12:10,25.95,22.00,24.60,27.25,boost_cooling,1.95
07/02 13:10,26.15,22.00,24.60,28.00,boost_cooling,1.95
07/02 14:10,25.99,22.00,24.60,27.93,boost_cooling,1.95
07/02 15:10,24.65,22.00,24.60,27.70,eco_cooling,1.0
